Esperando conexión...
Conectado con ('127.0.0.1', 60690)
fecha,t,tempC,meanN,trend,cycle_s
11/10/2025 00:32:46,3.50,23.71,23.71,INS,3.50
11/10/2025 00:32:50,7.00,23.71,23.71,INS,3.50
11/10/2025 00:32:53,10.50,23.71,23.71,INS,3.50
11/10/2025 00:32:57,14.00,29.39,25.13,INS,3.50
11/10/2025 00:33:00,17.50,28.39,25.78,ALZ,3.50
11/10/2025 00:33:04,21.00,28.84,26.81,ALZ,3.50
11/10/2025 00:33:07,24.50,28.93,27.85,EST,3.50
11/10/2025 00:33:11,28.00,27.57,28.62,EST,3.50
11/10/2025 00:33:14,31.50,26.21,27.98,BAJ,3.50
11/10/2025 00:33:18,35.00,25.31,27.37,BAJ,3.50
11/10/2025 00:33:21,38.50,24.69,26.54,BAJ,3.50
11/10/2025 00:33:25,42.00,24.42,25.64,EST,3.50
11/10/2025 00:33:28,45.50,24.15,24.96,EST,3.50
11/10/2025 00:33:32,49.00,23.98,24.51,EST,3.50
